Date,Revenue
2013-11-26,950
2015-11-26,950
2014-03-23,2401
2016-03-23,2088
2014-05-15,418
2016-05-15,522
2014-05-22,379
2016-05-22,190
2014-02-22,2086
2016-02-22,1991
2013-07-30,758
2015-07-30,758
2013-07-15,664
2015-07-15,664
2013-08-02,594
2015-08-02,832
2013-09-02,238
2015-09-02,119
2014-01-22,119
2016-01-22,119
2014-05-17,713
2016-05-17,950
2014-03-27,929
2016-03-27,722
2013-08-25,356
2015-08-25,119
2013-12-26,713
2015-12-26,594
2014-01-02,475
2016-01-02,475
2014-03-13,2376
2016-03-13,2614
2014-05-23,2851
2016-05-23,2732
2013-07-19,929
2015-07-19,929
2013-11-11,2970
2015-11-11,2732
2013-07-13,1176
2015-07-13,1176
2014-03-31,1294
2016-03-31,1294
2013-08-28,941
2015-08-28,1176
2013-08-27,238
2015-08-27,119
2013-11-17,1426
2015-11-17,1663
2013-08-07,295
2015-08-07,98
2013-07-15,787
2015-07-15,787
2013-08-17,2957
2015-08-17,2851
2013-07-17,907
2015-07-17,605
2013-12-31,706
2015-12-31,823
2013-09-17,1728
2015-09-17,1728
2013-09-24,626
2015-09-24,313
2013-09-25,590
2015-09-25,787
2013-11-26,832
2015-11-26,950
2013-08-03,119
2015-08-03,119
2014-06-19,1188
2016-06-19,1426
2014-03-04,470
2016-03-04,353
2014-05-30,235
2016-05-30,235
2014-06-28,1176
2016-06-28,823
2014-07-10,1529
2016-07-10,1411
2014-03-12,706
2016-03-12,605
2013-09-03,655
2015-09-03,842
2014-03-26,706
2016-03-26,470
2014-05-04,1999
2016-05-04,1882
2014-02-04,94
2016-02-04,281
2013-11-06,588
2015-11-06,470
2014-02-12,3528
2016-02-12,3175
2014-05-17,588
2016-05-17,235
2013-09-23,3125
2015-09-23,3236
2013-09-20,281
2015-09-20,94
2013-10-25,941
2015-10-25,1058
2014-05-11,3058
2016-05-11,3175
2013-09-29,594
2015-09-29,356
2014-05-16,1782
2016-05-16,1782
2014-05-23,118
2016-05-23,353
2013-08-06,1754
2015-08-06,1651
2013-10-14,936
2015-10-14,936
2013-12-06,936
2015-12-06,842
2013-12-18,281
2015-12-18,187
2013-09-13,461
2015-09-13,230
2013-10-27,284
2015-10-27,95
2014-01-02,522
2016-01-02,313
2014-05-10,118
2016-05-10,118
2014-04-27,235
2016-04-27,118
2013-12-22,281
2015-12-22,468
2013-11-28,1238
2015-11-28,1238
2014-07-28,418
2016-07-28,313
2014-04-13,504
2016-04-13,706
2014-02-19,197
2016-02-19,295
2013-12-09,209
2015-12-09,313
2014-05-17,335
2016-05-17,223
2014-06-06,534
2016-06-06,748
2013-08-18,238
2015-08-18,356
2013-09-20,936
2015-09-20,842
2013-12-29,468
2015-12-29,187
2014-03-30,806
2016-03-30,806
2013-11-09,722
2015-11-09,826
2013-12-31,516
2015-12-31,722
2013-08-30,823
2015-08-30,706
2013-11-04,108
2015-11-04,108
2014-01-31,1044
2016-01-31,1253
2014-05-28,418
2016-05-28,626
2013-09-07,238
2015-09-07,119
2014-04-17,619
2016-04-17,722
2013-09-29,1058
2015-09-29,1058
2013-07-31,2940
2015-07-31,2587
2013-08-03,1294
2015-08-03,1294
2014-02-27,187
2016-02-27,94
2013-09-13,374
2015-09-13,562
2014-06-08,842
2016-06-08,562
2014-06-05,1548
2016-06-05,1548
2013-12-15,823
2015-12-15,941
2014-01-17,3528
2016-01-17,3410
2014-05-07,706
2016-05-07,706
2013-11-10,936
2015-11-10,842
2013-08-19,1411
2015-08-19,1058
2013-09-18,353
2015-09-18,353
2013-12-14,2808
2015-12-14,2808
2014-01-01,835
2016-01-01,626
2014-03-01,190
2016-03-01,379
2014-06-12,731
2016-06-12,418
2013-12-23,569
2015-12-23,664
2014-07-31,2558
2016-07-31,2263
2014-05-11,691
2016-05-11,922
2014-06-18,115
2016-06-18,115
2014-04-20,461
2016-04-20,691
2013-12-05,936
2015-12-05,749
2014-06-11,2257
2016-06-11,2020
2014-04-24,284
2016-04-24,379
2014-02-07,758
2016-02-07,569
2013-12-03,101
2015-12-03,101
2014-03-24,691
2016-03-24,346
2014-04-07,230
2016-04-07,115
2014-06-06,835
2016-06-06,522
2013-12-19,2066
2015-12-19,2165
2014-07-12,3013
2016-07-12,2902
2014-03-21,492
2016-03-21,492
2013-11-27,1176
2015-11-27,1176
2014-06-15,1999
2016-06-15,2234
2014-05-04,1670
2016-05-04,1775
2013-08-20,310
2015-08-20,310
2013-09-04,2786
2015-09-04,2477
2014-01-19,706
2016-01-19,941
2014-01-07,3445
2016-01-07,3564
2013-12-31,1253
2015-12-31,1357
2014-01-16,1188
2016-01-16,832
2014-02-18,238
2016-02-18,119
2014-03-02,353
2016-03-02,588
2013-07-15,558
2015-07-15,223
2014-06-06,230
2016-06-06,230
2013-10-09,1044
2015-10-09,1253
2013-12-11,1068
2015-12-11,1282
2014-05-20,98
2016-05-20,197
2013-09-27,941
2015-09-27,1058
2013-12-17,480
2015-12-17,720
2014-02-20,731
2016-02-20,940
2013-08-26,950
2015-08-26,713
2013-08-03,1188
2015-08-03,1426
2013-11-28,842
2015-11-28,842
2013-11-19,1044
2015-11-19,940
2013-12-08,418
2015-12-08,313
2014-04-27,313
