ProductID,ProductName,SupplierID,CategoryID,UnitPrice,UnitsInStock,UnitsOnOrder,Sales by Category.CategoryName,Sales by Category.ProductSales,Order Details.1.OrderID,Order Details.1.ProductID,Order Details.1.Quantity,Categories.CategoryID,Categories.CategoryName,Omzet
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10522,1,40,1,Beverages,XDR720.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10522,1,40,1,Beverages,XDR720.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10522,1,40,1,Beverages,XDR720.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10522,1,40,1,Beverages,XDR720.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10526,1,8,1,Beverages,XDR144.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10526,1,8,1,Beverages,XDR144.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10526,1,8,1,Beverages,XDR144.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10526,1,8,1,Beverages,XDR144.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10576,1,10,1,Beverages,XDR180.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10576,1,10,1,Beverages,XDR180.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10576,1,10,1,Beverages,XDR180.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10576,1,10,1,Beverages,XDR180.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10590,1,20,1,Beverages,XDR360.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10590,1,20,1,Beverages,XDR360.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10590,1,20,1,Beverages,XDR360.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10590,1,20,1,Beverages,XDR360.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10609,1,3,1,Beverages,XDR54.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10609,1,3,1,Beverages,XDR54.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10609,1,3,1,Beverages,XDR54.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10609,1,3,1,Beverages,XDR54.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10611,1,6,1,Beverages,XDR108.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10611,1,6,1,Beverages,XDR108.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10611,1,6,1,Beverages,XDR108.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10611,1,6,1,Beverages,XDR108.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10628,1,25,1,Beverages,XDR450.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10628,1,25,1,Beverages,XDR450.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10628,1,25,1,Beverages,XDR450.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10628,1,25,1,Beverages,XDR450.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10646,1,15,1,Beverages,XDR270.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10646,1,15,1,Beverages,XDR270.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10646,1,15,1,Beverages,XDR270.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10646,1,15,1,Beverages,XDR270.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10689,1,35,1,Beverages,XDR630.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10689,1,35,1,Beverages,XDR630.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10689,1,35,1,Beverages,XDR630.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10689,1,35,1,Beverages,XDR630.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10691,1,30,1,Beverages,XDR540.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10691,1,30,1,Beverages,XDR540.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10691,1,30,1,Beverages,XDR540.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10691,1,30,1,Beverages,XDR540.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10700,1,5,1,Beverages,XDR90.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10700,1,5,1,Beverages,XDR90.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10700,1,5,1,Beverages,XDR90.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10700,1,5,1,Beverages,XDR90.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10729,1,50,1,Beverages,XDR900.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10729,1,50,1,Beverages,XDR900.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10729,1,50,1,Beverages,XDR900.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10729,1,50,1,Beverages,XDR900.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10752,1,8,1,Beverages,XDR144.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10752,1,8,1,Beverages,XDR144.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10752,1,8,1,Beverages,XDR144.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10752,1,8,1,Beverages,XDR144.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10838,1,4,1,Beverages,XDR72.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10838,1,4,1,Beverages,XDR72.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10838,1,4,1,Beverages,XDR72.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10838,1,4,1,Beverages,XDR72.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10847,1,80,1,Beverages,"XDR1,440."
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10847,1,80,1,Beverages,"XDR1,440."
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10847,1,80,1,Beverages,"XDR1,440."
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10847,1,80,1,Beverages,"XDR1,440."
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10863,1,20,1,Beverages,XDR360.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10863,1,20,1,Beverages,XDR360.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10863,1,20,1,Beverages,XDR360.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10863,1,20,1,Beverages,XDR360.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10869,1,40,1,Beverages,XDR720.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10869,1,40,1,Beverages,XDR720.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10869,1,40,1,Beverages,XDR720.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10869,1,40,1,Beverages,XDR720.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10905,1,20,1,Beverages,XDR360.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10905,1,20,1,Beverages,XDR360.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10905,1,20,1,Beverages,XDR360.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10905,1,20,1,Beverages,XDR360.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10911,1,10,1,Beverages,XDR180.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10911,1,10,1,Beverages,XDR180.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10911,1,10,1,Beverages,XDR180.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10911,1,10,1,Beverages,XDR180.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10918,1,60,1,Beverages,"XDR1,080."
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10918,1,60,1,Beverages,"XDR1,080."
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10918,1,60,1,Beverages,"XDR1,080."
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10918,1,60,1,Beverages,"XDR1,080."
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10935,1,21,1,Beverages,XDR378.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10935,1,21,1,Beverages,XDR378.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10935,1,21,1,Beverages,XDR378.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10935,1,21,1,Beverages,XDR378.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11003,1,4,1,Beverages,XDR72.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11003,1,4,1,Beverages,XDR72.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11003,1,4,1,Beverages,XDR72.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11003,1,4,1,Beverages,XDR72.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11005,1,2,1,Beverages,XDR36.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11005,1,2,1,Beverages,XDR36.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11005,1,2,1,Beverages,XDR36.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11005,1,2,1,Beverages,XDR36.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11006,1,8,1,Beverages,XDR144.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11006,1,8,1,Beverages,XDR144.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11006,1,8,1,Beverages,XDR144.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11006,1,8,1,Beverages,XDR144.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11025,1,10,1,Beverages,XDR180.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11025,1,10,1,Beverages,XDR180.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11025,1,10,1,Beverages,XDR180.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11025,1,10,1,Beverages,XDR180.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11031,1,45,1,Beverages,XDR810.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11031,1,45,1,Beverages,XDR810.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11031,1,45,1,Beverages,XDR810.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11031,1,45,1,Beverages,XDR810.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11035,1,10,1,Beverages,XDR180.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11035,1,10,1,Beverages,XDR180.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11035,1,10,1,Beverages,XDR180.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11035,1,10,1,Beverages,XDR180.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11047,1,25,1,Beverages,XDR450.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11047,1,25,1,Beverages,XDR450.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11047,1,25,1,Beverages,XDR450.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11047,1,25,1,Beverages,XDR450.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",11070,1,40,1,Beverages,XDR720.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",11070,1,40,1,Beverages,XDR720.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",11070,1,40,1,Beverages,XDR720.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",11070,1,40,1,Beverages,XDR720.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10530,76,50,1,Beverages,XDR900.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10530,76,50,1,Beverages,XDR900.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10530,76,50,1,Beverages,XDR900.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10530,76,50,1,Beverages,XDR900.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10566,76,10,1,Beverages,XDR180.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10566,76,10,1,Beverages,XDR180.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10566,76,10,1,Beverages,XDR180.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10566,76,10,1,Beverages,XDR180.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10569,76,30,1,Beverages,XDR540.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10569,76,30,1,Beverages,XDR540.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10569,76,30,1,Beverages,XDR540.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10569,76,30,1,Beverages,XDR540.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10575,76,10,1,Beverages,XDR180.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10575,76,10,1,Beverages,XDR180.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10575,76,10,1,Beverages,XDR180.
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10575,76,10,1,Beverages,XDR180.
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10582,76,14,1,Beverages,XDR252.
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10582,76,14,1,Beverages,XDR252.
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10582,76,14,1,Beverages,XDR252.
