ProductID,ProductName,SupplierID,CategoryID,UnitPrice,UnitsInStock,UnitsOnOrder,Sales by Category.CategoryName,Sales by Category.ProductSales,OrderID,Order Details.1.ProductID,Quantity,Categories.CategoryID,Categories.CategoryName,Omzet,OrderDate
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10522,1,40,1,Beverages,XDR720.00,30/04/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10522,1,40,1,Beverages,XDR720.00,30/04/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10522,1,40,1,Beverages,XDR720.00,30/04/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10522,1,40,1,Beverages,XDR720.00,30/04/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10526,1,8,1,Beverages,XDR144.00,05/05/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10526,1,8,1,Beverages,XDR144.00,05/05/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10526,1,8,1,Beverages,XDR144.00,05/05/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10526,1,8,1,Beverages,XDR144.00,05/05/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10576,1,10,1,Beverages,XDR180.00,23/06/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10576,1,10,1,Beverages,XDR180.00,23/06/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10576,1,10,1,Beverages,XDR180.00,23/06/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10576,1,10,1,Beverages,XDR180.00,23/06/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10590,1,20,1,Beverages,XDR360.00,07/07/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10590,1,20,1,Beverages,XDR360.00,07/07/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10590,1,20,1,Beverages,XDR360.00,07/07/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10590,1,20,1,Beverages,XDR360.00,07/07/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10609,1,3,1,Beverages,XDR54.00,24/07/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10609,1,3,1,Beverages,XDR54.00,24/07/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10609,1,3,1,Beverages,XDR54.00,24/07/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10609,1,3,1,Beverages,XDR54.00,24/07/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10611,1,6,1,Beverages,XDR108.00,25/07/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10611,1,6,1,Beverages,XDR108.00,25/07/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10611,1,6,1,Beverages,XDR108.00,25/07/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10611,1,6,1,Beverages,XDR108.00,25/07/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10628,1,25,1,Beverages,XDR450.00,12/08/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10628,1,25,1,Beverages,XDR450.00,12/08/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10628,1,25,1,Beverages,XDR450.00,12/08/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10628,1,25,1,Beverages,XDR450.00,12/08/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10646,1,15,1,Beverages,XDR270.00,27/08/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10646,1,15,1,Beverages,XDR270.00,27/08/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10646,1,15,1,Beverages,XDR270.00,27/08/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10646,1,15,1,Beverages,XDR270.00,27/08/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10689,1,35,1,Beverages,XDR630.00,01/10/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10689,1,35,1,Beverages,XDR630.00,01/10/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10689,1,35,1,Beverages,XDR630.00,01/10/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10689,1,35,1,Beverages,XDR630.00,01/10/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10691,1,30,1,Beverages,XDR540.00,03/10/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10691,1,30,1,Beverages,XDR540.00,03/10/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10691,1,30,1,Beverages,XDR540.00,03/10/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10691,1,30,1,Beverages,XDR540.00,03/10/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10700,1,5,1,Beverages,XDR90.00,10/10/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10700,1,5,1,Beverages,XDR90.00,10/10/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10700,1,5,1,Beverages,XDR90.00,10/10/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10700,1,5,1,Beverages,XDR90.00,10/10/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10729,1,50,1,Beverages,XDR900.00,04/11/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10729,1,50,1,Beverages,XDR900.00,04/11/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10729,1,50,1,Beverages,XDR900.00,04/11/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10729,1,50,1,Beverages,XDR900.00,04/11/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10752,1,8,1,Beverages,XDR144.00,24/11/1997
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10752,1,8,1,Beverages,XDR144.00,24/11/1997
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10752,1,8,1,Beverages,XDR144.00,24/11/1997
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10752,1,8,1,Beverages,XDR144.00,24/11/1997
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10838,1,4,1,Beverages,XDR72.00,19/01/1998
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10838,1,4,1,Beverages,XDR72.00,19/01/1998
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10838,1,4,1,Beverages,XDR72.00,19/01/1998
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10838,1,4,1,Beverages,XDR72.00,19/01/1998
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10847,1,80,1,Beverages,"XDR1,440.00",22/01/1998
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10847,1,80,1,Beverages,"XDR1,440.00",22/01/1998
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10847,1,80,1,Beverages,"XDR1,440.00",22/01/1998
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10847,1,80,1,Beverages,"XDR1,440.00",22/01/1998
1,Chai,1,1,XDR18.00,39,0,Beverages,"XDR4,887.00",10863,1,20,1,Beverages,XDR360.00,02/02/1998
35,Steeleye Stout,16,1,XDR18.00,20,0,Beverages,"XDR5,274.90",10863,1,20,1,Beverages,XDR360.00,02/02/1998
39,Chartreuse verte,18,1,XDR18.00,69,0,Beverages,"XDR4,475.70",10863,1,20,1,Beverages,XDR360.00,02/02/1998
76,Lakkalikööri,23,1,XDR18.00,57,0,Beverages,"XDR7,379.10",10863,1,20,1,Beverages,XDR360.00,02/02/1998
