ProductID,ProductName,SupplierID,CategoryID,UnitPrice,UnitsInStock,UnitsOnOrder,Sales by Category.CategoryName,Sales by Category.ProductSales,Order Details.1.OrderID,Order Details.1.ProductID,Order Details.1.Quantity,Categories.CategoryID,Categories.CategoryName
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10522,1,40,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10522,1,40,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10522,1,40,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10522,1,40,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10526,1,8,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10526,1,8,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10526,1,8,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10526,1,8,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10576,1,10,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10576,1,10,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10576,1,10,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10576,1,10,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10590,1,20,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10590,1,20,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10590,1,20,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10590,1,20,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10609,1,3,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10609,1,3,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10609,1,3,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10609,1,3,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10611,1,6,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10611,1,6,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10611,1,6,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10611,1,6,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10628,1,25,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10628,1,25,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10628,1,25,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10628,1,25,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10646,1,15,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10646,1,15,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10646,1,15,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10646,1,15,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10689,1,35,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10689,1,35,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10689,1,35,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10689,1,35,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10691,1,30,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10691,1,30,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10691,1,30,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10691,1,30,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10700,1,5,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10700,1,5,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10700,1,5,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10700,1,5,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10729,1,50,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10729,1,50,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10729,1,50,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10729,1,50,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10752,1,8,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10752,1,8,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10752,1,8,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10752,1,8,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10838,1,4,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10838,1,4,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10838,1,4,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10838,1,4,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10847,1,80,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10847,1,80,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10847,1,80,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10847,1,80,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10863,1,20,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10863,1,20,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10863,1,20,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10863,1,20,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10869,1,40,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10869,1,40,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10869,1,40,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10869,1,40,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10905,1,20,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10905,1,20,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10905,1,20,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10905,1,20,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10911,1,10,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10911,1,10,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10911,1,10,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10911,1,10,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10918,1,60,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10918,1,60,1,Beverages
39,Chartreuse verte,18,1,XDR18.,69,0,Beverages,"XDR4,475.7",10918,1,60,1,Beverages
76,Lakkalikööri,23,1,XDR18.,57,0,Beverages,"XDR7,379.1",10918,1,60,1,Beverages
1,Chai,1,1,XDR18.,39,0,Beverages,"XDR4,887.",10935,1,21,1,Beverages
35,Steeleye Stout,16,1,XDR18.,20,0,Beverages,"XDR5,274.9",10935,1,21,1,Beverages
