Name,Som van Quantity
Hex Nut 7,1911
Hex Nut 23,1901
Thin-Jam Hex Nut 3,1901
Hex Nut 10,1888
Hex Nut 14,1880
Metal Tread Plate,1837
Hex Nut 18,1824
Hex Nut 2,1808
Hex Nut 6,1781
Thin-Jam Hex Nut 7,1781
LL Nipple,1780
Hex Nut 13,1778
Thin-Jam Hex Nut 15,1761
Chainring Nut,1750
Decal 1,1750
Lock Washer 11,1743
Lock Washer 3,1738
Lock Washer 9,1733
Lock Washer 2,1728
Lock Washer 12,1724
Thin-Jam Hex Nut 5,1721
Lock Washer 7,1719
Internal Lock Washer 6,1715
Lock Washer 1,1714
Lock Washer 8,1709
Lock Washer 13,1704
Internal Lock Washer 4,1703
Flat Washer 3,1702
Lock Washer 6,1700
Lock Washer 10,1695
Lock Nut 16,1690
Lock Washer 5,1690
Metal Bar 2,1687
Lock Washer 4,1685
Chainring,1684
Crown Race,1684
Decal 2,1684
Metal Sheet 3,1681
Lock Nut 6,1680
Lock Nut 17,1676
Flat Washer 2,1673
External Lock Washer 7,1672
Lock Nut 5,1671
Lock Nut 7,1661
Metal Plate 1,1661
Metal Sheet 5,1661
Thin-Jam Lock Nut 11,1661
Seat Lug,1653
Hex Nut 19,1652
Lock Ring,1652
Thin-Jam Lock Nut 12,1652
Lock Nut 8,1647
Lock Nut 18,1642
Thin-Jam Lock Nut 8,1642
Lock Nut 19,1632
Lock Nut 9,1632
Thin-Jam Lock Nut 7,1632
Thin-Jam Lock Nut 9,1632
Thin-Jam Hex Nut 1,1631
Chain Stays,1629
Mountain End Caps,1629
Thin-Jam Lock Nut 10,1628
Lock Nut 4,1623
Thin-Jam Lock Nut 1,1623
Thin-Jam Lock Nut 14,1623
Lock Nut 22,1618
Thin-Jam Lock Nut 2,1618
External Lock Washer 2,1614
Lock Nut 15,1613
Thin-Jam Lock Nut 13,1613
Thin-Jam Lock Nut 15,1613
Thin-Jam Lock Nut 16,1608
Lock Nut 14,1604
Lock Nut 23,1604
Thin-Jam Lock Nut 4,1604
Thin-Jam Lock Nut 5,1604
Road End Caps,1601
Thin-Jam Lock Nut 6,1599
Lock Nut 3,1594
Thin-Jam Lock Nut 3,1594
Spokes,1590
Lock Nut 12,1589
Lock Nut 21,1584
Lock Nut 13,1575
Lock Nut 20,1575
Touring End Caps,1571
Lock Nut 2,1565
Lock Nut 1,1560
Lock Nut 11,1556
Lock Nut 10,1546
Fork End,1405
Down Tube,1364
Touring Rim,1364
Blade,1361
BB Ball Bearing,1352
Fork Crown,1341
Handlebar Tube,1326
Headset Ball Bearings,1322
Head Tube,1308
LL Shell,1263
Seat Stays,1257
HL Mountain Rim,1247
ML Mountain Rim,1231
LL Mountain Rim,1215
HL Shell,1211
Chainring Bolts,1136
Internal Lock Washer 9,1119
Bearing Ball,1109
Internal Lock Washer 5,1104
Flat Washer 1,1103
Thin-Jam Hex Nut 4,1103
Thin-Jam Hex Nut 9,1103
Flat Washer 6,1093
Internal Lock Washer 7,1090
Adjustable Race,1085
Cup-Shaped Race,1084
Thin-Jam Hex Nut 10,1084
Thin-Jam Hex Nut 13,1084
Metal Angle,1083
Metal Bar 1,1079
Flat Washer 9,1072
External Lock Washer 6,1057
Thin-Jam Hex Nut 16,1052
External Lock Washer 1,1046
External Lock Washer 8,1037
Metal Plate 2,1029
Thin-Jam Hex Nut 6,1029
Thin-Jam Hex Nut 2,1026
Metal Plate 3,997
Metal Sheet 7,997
Metal Sheet 6,992
Keyed Washer,990
HL Touring Seat/Saddle,989
External Lock Washer 3,981
Pinch Bolt,973
External Lock Washer 4,972
Cone-Shaped Race,970
HL Bottom Bracket,970
External Lock Washer 9,963
External Lock Washer 5,952
Hex Nut 16,941
Flat Washer 4,936
Metal Sheet 1,935
Flat Washer 7,926
Hex Nut 17,926
Hex Nut 5,925
Metal Sheet 2,924
Metal Sheet 4,924
HL Crankset,923
HL Nipple,922
Internal Lock Washer 10,919
Thin-Jam Hex Nut 11,916
Internal Lock Washer 1,914
Flat Washer 5,911
Hex Nut 15,911
Internal Lock Washer 8,909
HL Road Pedal,906
LL Road Seat/Saddle,906
Thin-Jam Hex Nut 12,906
Internal Lock Washer 2,905
ML Crankset,905
HL Fork,901
ML Road Seat/Saddle,901
Thin-Jam Hex Nut 8,897
Flat Washer 8,896
LL Road Front Wheel,888
LL Crankset,885
Touring Pedal,885
Thin-Jam Hex Nut 14,883
ML Fork,882
LL Fork,863
LL Mountain Handlebars,859
Front Derailleur,853
ML Mountain Handlebars,850
Rear Derailleur,847
Freewheel,844
HL Mountain Handlebars,840
ML Road Rear Wheel,837
HL Touring Seat Assembly,836
Tension Pulley,836
"HL Mountain Frame - Black, 38",834
HL Mountain Front Wheel,831
LL Road Handlebars,831
ML Touring Seat Assembly,831
Seat Tube,831
Reflector,827
LL Touring Seat Assembly,826
"ML Mountain Frame-W - Silver, 38",826
Guide Pulley,822
ML Road Handlebars,822
HL Road Seat Assembly,821
Hex Nut 12,820
Hex Nut 3,818
ML Mountain Front Wheel,818
ML Bottom Bracket,816
ML Road Seat Assembly,816
LL Bottom Bracket,814
LL Road Seat Assembly,812
ML Mountain Rear Wheel,812
HL Road Handlebars,811
Hex Nut 21,809
LL Mountain Seat/Saddle,809
Hex Nut 22,808
HL Mountain Seat Assembly,807
LL Touring Handlebars,802
ML Mountain Seat Assembly,802
LL Touring Seat/Saddle,801
Steerer,801
LL Road Rear Wheel,799
Hex Nut 11,798
Hex Nut 20,798
HL Crankarm,797
HL Hub,797
LL Mountain Seat Assembly,797
"ML Road Frame-W - Yellow, 38",796
Stem,796
ML Road Front Wheel,793
HL Touring Handlebars,792
LL Hub,790
Hex Nut 9,789
Hex Nut 4,784
HL Mountain Rear Wheel,783
HL Headset,782
LL Grip Tape,780
Seat Post,780
Internal Lock Washer 3,776
Front Derailleur Linkage,773
ML Headset,772
Hex Nut 8,770
Front Brakes,767
"ML Mountain Frame - Black, 38",767
LL Headset,761
Touring Rear Wheel,741
ML Road Rim,740
"HL Mountain Frame - Silver, 38",738
ML Grip Tape,736
Touring Front Wheel,736
Hex Nut 1,725
Rear Brakes,723
LL Mountain Front Wheel,722
LL Road Rim,722
"LL Mountain Frame - Black, 40",719
HL Road Rear Wheel,716
Lower Head Race,701
HL Grip Tape,693
"LL Mountain Frame - Silver, 40",682
LL Mountain Rear Wheel,681
HL Road Front Wheel,678
ML Mountain Tire,669
Top Tube,657
HL Road Rim,615
LL Mountain Tire,609
Front Derailleur Cage,605
LL Crankarm,593
Chain,589
ML Road Tire,574
Mountain Tire Tube,529
HL Road Tire,527
LL Mountain Pedal,512
LL Spindle/Axle,512
ML Mountain Pedal,507
Road Tire Tube,505
HL Mountain Pedal,503
Touring Tire Tube,502
HL Mountain Tire,499
LL Road Pedal,498
ML Road Pedal,494
LL Road Tire,488
Touring Tire,482
HL Road Seat/Saddle,467
HL Spindle/Axle,459
ML Crankarm,439
ML Mountain Seat/Saddle,422
Rear Derailleur Cage,421
ML Touring Seat/Saddle,402
HL Mountain Seat/Saddle,355
"Half-Finger Gloves, S",324
Mountain Pump,324
Road Bottle Cage,324
"Short-Sleeve Classic Jersey, S",324
"Sport-100 Helmet, Black",324
"Women's Tights, S",324
AWC Logo Cap,288
"Men's Sports Shorts, S",288
Minipump,288
Mountain Bottle Cage,288
"Racing Socks, L",288
"Sport-100 Helmet, Red",288
"Women's Mountain Shorts, L",288
Cable Lock,252
"Classic Vest, L",252
"Long-Sleeve Logo Jersey, XL",252
"Racing Socks, M",252
Water Bottle - 30 oz.,252
"Women's Mountain Shorts, M",252
"Road-250 Red, 58",227
"Road-350-W Yellow, 48",227
"Road-550-W Yellow, 42",227
"Road-650 Black, 52",227
"Touring-2000 Blue, 50",227
"Mountain-200 Silver, 42",223
"Mountain-300 Black, 40",223
"Road-150 Red, 44",223
"Road-650 Red, 48",223
"Classic Vest, M",216
Headlights - Weatherproof,216
"Long-Sleeve Logo Jersey, L",216
"Mountain Bike Socks, L",216
"Sport-100 Helmet, Blue",216
"Women's Mountain Shorts, S",216
"Touring-3000 Blue, 58",204
"Touring-3000 Yellow, 58",197
"Mountain-100 Black, 42",194
"Mountain-500 Silver, 52",194
"Road-750 Black, 52",194
"Mountain-200 Black, 38",188
"Road-250 Black, 52",188
"Road-650 Black, 62",188
"Road-250 Red, 48",185
"Road-350-W Yellow, 40",185
"Road-650 Red, 60",185
"Touring-1000 Blue, 46",185
"Classic Vest, S",180
